price_decile,actual_min,actual_max,actual_mean,abs_error_mean,pct_error_mean,residual_mean,residual_std
1,-18159.69,124530.12,93978.56,61918.9,74.62,-61877.08,31777.26
2,124647.42,158575.73,143121.97,31993.74,22.53,-26568.31,32796.4
3,158592.51,182665.78,171030.23,33478.7,19.62,-16978.07,38941.9
4,182688.31,203613.89,193147.37,33502.6,17.35,-8862.63,40388.83
5,203616.74,224855.3,214532.14,34681.57,16.17,-739.76,42991.73
6,224868.96,245336.42,235321.71,36653.88,15.57,2540.0,44348.97
7,245379.8,267372.84,256239.33,32973.77,12.88,5807.75,40225.87
8,267398.08,292879.29,279551.92,32183.28,11.53,16464.95,38348.87
9,292892.05,323840.4,307339.67,34814.4,11.31,30227.54,34553.28
10,323930.5,463977.24,355276.42,62176.74,17.2,62160.36,32663.74
